Company,Violation,Date,Action,Case Number,Link,Lat& long
"Accurate Group, LLC",Failed  to enter 105 RREAL transactions,05-04-23,"$1,450  civil penalty",21897-AG23-0224-040,https://www.in.gov/idoi/files/enforcement/21897-AG23-0224-040.pdf,"41.410514810491506, -81.77136019841426"
"Acrisure National Lender Services, LLC",Failure to enter RREAL transactions into database,26-09-23,$1400 Civil Penalty,22451-AG23-0630-091,https://www.in.gov/idoi/files/enforcement/22451-AG23-0630-091.pdf,"39.96366455521571, -86.12386815410923"
Acuity National Real Estate Solutions LLC,Failure  to enter 489 RREAL transactions,08-06-23,$5290  fine,21896-AG23-0322-057,https://www.in.gov/idoi/files/enforcement/21896-AG23-0322-057.pdf,"38.230198193612175, -85.53988120071678"
"Adroit Health Group, LLC",License  Revocation,16-11-23,$750.00  Civil Penalty,21921-AG23-1019-143,https://www.in.gov/idoi/files/enforcement/21921-AG23-1019-143.pdf,"35.72967447795221, -84.36326302784433"
Advantage Title LLC,Failure  to input RREAL transactions,16-03-23,"$4,530  fine",21894-AG23-0202-019,https://www.in.gov/idoi/files/enforcement/21894-AG23-0202-019.pdf,"40.41928284305835, -86.79472770612529"
"A-Max Insurance Services, LLC",Administration Action,19-10-23,2 Year  Probation,22490-AG23-0620-083,https://www.in.gov/idoi/files/enforcement/22490-AG23-0620-083.pdf,"39.818898600234114, -84.8712425122003"
America's Settlement Company,Failure  to enter RREAL transactions into database,03-08-23,$2830  Civil Penalty,22223-AG23-0403-062,https://www.in.gov/idoi/files/enforcement/22223-AG23-0403-062.pdf,"39.14916776781236, -76.90536701610151"
Chicago Title Co. LLC,Failure to enter RREAL transactions into database,26-09-23,$16070 fine,22235-AG23-0719-099,https://www.in.gov/idoi/files/enforcement/22235-AG23-0719-099.pdf,"40.044454826030105, -76.31358039034767"
"ClearEdge Title, Inc",Failure  to enter RREAL transactions into database,29-11-23,$2640.00 Civil Penalty,22449-AG23-1005-140,https://www.in.gov/idoi/files/enforcement/22449-AG23-1005-140.pdf,"39.36597695829783, -76.79373915220253"
"Closeline, LLC",Failure  to enter RREAL transactions into database,02-11-23,$1820.00 Civil Penalty,22448-AG23-0913-127,https://www.in.gov/idoi/files/enforcement/22448-AG23-0913-127.pdf,"39.11108277556087, -77.17805271980515"
"Rise & Shine Services, LLC",Failure  to pay taxes,20-04-23,License  Denial,22070-AD23-0117-008,https://www.in.gov/idoi/files/enforcement/22070-AD23-0117-008.pdf,"38.53061192408369, -76.71912481716338"
"Southwestern Indiana Land Title, Inc",Failure  to enter 277 RREAL transactions,21-02-23,"$3,170  civil penalty",21908-AG23-0119-009,https://www.in.gov/idoi/files/enforcement/21908-AG23-0119-009.pdf,"38.35541070722104, -87.57228674232819"
