Company,Violation,Date,Action,Case Number,Link
"1 Brick Insurance, LLC",No  Violation,2017-07-21,Vacate  Suspension,13740-AG15-0303-063,https://www.in.gov/idoi/files/enforcement/13740-AG15-0303-063.pdf
"35 Realserv, Inc.",Failure to Respond,2009-05-21,Suspension of License,7983-AG09-0515-094,https://www.in.gov/idoi/files/enforcement/7983%20fo.pdf
A. D. Baker & Company,Lack of  Fitness/Trustworthiness,2000-12-13,Probation,168-IDOI-CO01-022,https://www.in.gov/idoi/files/enforcement/168-IDOI-CO01-022b.pdf
"A.F. Stevens & Associates, Inc.",Misappropriation  of Premiums,2012-06-20,License  permanently Revoked,11032-AG12-0321-020,https://www.in.gov/idoi/files/enforcement/11032-AG12-0321-020c.pdf
"Absolute Title Services, LLC",Failure  to enter RREAL transactions into database,2016-06-30,Fine  $810.00,15181-AG16-1531-125,https://www.in.gov/idoi/files/enforcement/15181-AG16-0531-125b.pdf
"Access Insurance Agency of Indiana, LLC",Lack of  Fitness/Trustworthiness/No License,2008-12-15,$1000.00  fine,7257-AG08-1119-282,https://www.in.gov/idoi/files/enforcement/7257-AG08-1119-282b.pdf
"Accurate Group, LLC",Failed  to enter 105 RREAL transactions,2023-04-05,"$1,450  civil penalty",21897-AG23-0224-040,https://www.in.gov/idoi/files/enforcement/21897-AG23-0224-040.pdf
"Acrisure National Lender Services, LLC",Failure to enter RREAL transactions into database,2023-09-26,$1400 Civil Penalty,22451-AG23-0630-091,https://www.in.gov/idoi/files/enforcement/22451-AG23-0630-091.pdf
Acuity National Real Estate Solutions LLC,Failure  to enter 489 RREAL transactions,2023-06-08,$5290  fine,21896-AG23-0322-057,https://www.in.gov/idoi/files/enforcement/21896-AG23-0322-057.pdf
"Administrative Concepts, Inc.",Unfair  Claims,2008-02-25,$2500.00  Fine,6482-AG08-0214-065,https://www.in.gov/idoi/files/enforcement/6482-AG08-0214-065b.pdf
"Adroit Health Group, LLC",License  Revocation,2023-11-16,$750.00  Civil Penalty,21921-AG23-1019-143,https://www.in.gov/idoi/files/enforcement/21921-AG23-1019-143.pdf
Advantage Title LLC,Failure  to input RREAL transactions,2023-03-16,"$4,530  fine",21894-AG23-0202-019,https://www.in.gov/idoi/files/enforcement/21894-AG23-0202-019.pdf
"Advantis Title Solutions, Inc.",Lack of Fitness/Trustworthiness,2012-04-10,"$1,700 Fine & Voluntary Surrender of License",10268-AG11-0502-080,https://www.in.gov/idoi/files/enforcement/10268%20knarr%20fo_001.pdf
"Agent's Choice, Inc.",Employed Unlicensed Individual,2011-02-14,"$2,500 Administrative Fine",9974-AG11-0107-007,https://www.in.gov/idoi/files/enforcement/9974%20agents%20choice%20fo_001.pdf
"All Real Estate Solutions, LLC",Unlicensed  personal signing HUD-1s violation,2015-11-24,$1629.57  fine,14026-AG15-0825-233,https://www.in.gov/idoi/files/enforcement/14026-AG15-0825-233.pdf
Alliance Association Health,Holds No  License,2008-06-11,Cease  & Desist,6768-AG08-0424-114,https://www.in.gov/idoi/files/enforcement/6768-AG08-0424-114b.pdf
"Allodial Title, LLC",Failure  to enter Transactions into the RREAL IN,2015-12-04,"$1,560  Fine",14207-AG15-110-291,https://www.in.gov/idoi/files/enforcement/14207-AG15-110-291.pdf
Alpha Vision Insurance Company,Claim  Handling,2011-04-15,Settlement  Per Agreed Entry,10202-CO11-0330-006,https://www.in.gov/idoi/files/enforcement/10202-CO11-0330-006.pdf
"A-Max Insurance Services, LLC",Administration Action,2023-10-19,2 Year  Probation,22490-AG23-0620-083,https://www.in.gov/idoi/files/enforcement/22490-AG23-0620-083.pdf
American Amicable Life Insurance Co. of  Texas,Multi-State Settlement per Final Order,2006-06-28,"$79,920 Restitution",3517-IDOI-MC,https://www.in.gov/idoi/files/enforcement/3517-IDOI-MC.pdf
"American Business Insurance, Inc.",Lack of Fitness/Trustworthiness,2010-08-20,"$1,500 Fine",9020_AG10-0714-119,https://www.in.gov/idoi/files/enforcement/9020%20abi%20fo_001.pdf
American Family Life Assurance Company of  Columbus,Rate Violation,2009-07-10,No Rate Increase Approved,7000-CO09-0601-009,https://www.in.gov/idoi/files/enforcement/7000%20aflac%20fo_001.pdf
American Freedom Assurance Inc.,Failure  to input Real-Estate policies into the RREAL-IN database,2016-07-08,"$11,070  Fine",14682-AG16-0531-123,https://www.in.gov/idoi/files/enforcement/14682-AG16-0531-123.pdf
American Global LLC,Failure  to report 3 administrative actions,2022-10-26,$750  civil penalty,21688-AG22-0818-146,https://www.in.gov/idoi/files/enforcement/21688-AG22-0818-146.pdf
"American Healthcare Plans, Inc.",No License,2011-07-14,Emergency Cease & Desist Order.,10468-CO11-0712-010,https://www.in.gov/idoi/files/enforcement/10468%20ahp%20cd_001.pdf
"American Homeland Title Agency, Inc.",Failure  to Collect TIEFF/Failure to import real estate transactions into RREAL  database,2015-03-20,"Administrative  Penalty 70,082.00/Refund Customers $42,202.00 for Overcharge/License  Permanently Revoked",13683-AG15-0226-032,https://www.in.gov/idoi/files/enforcement/13683-AG15-0226-032b.pdf
American Insurance Marketing Services,Failure  to Report Other State Action,2015-01-09,$250  Civil Penalty,13426-AG14-1112-201,https://www.in.gov/idoi/files/enforcement/13426%20american%20insurance.pdf
American National Ins. Co.,Race-based Settlement,2004-07-26,"$1,000 Fine",1527-MC-04-003,https://www.in.gov/idoi/files/enforcement/1527-MC-04-003b.pdf
"American Security Title Company, Inc",Failure  to submit list of appointments,2007-09-10,License  Suspension,5603-AG07-0827-230,https://www.in.gov/idoi/files/enforcement/5603-AG07-0827-230b.pdf
